Q3596095,0
Q2057331,1
Q3320722,2
Q3750932,3
Q2442135,4
Q3751386,5
Q6746220,6
Q3297875,7
Q3750859,8
Q15225338,9
Q3751076,10
Q2562684,11
Q2107762,12
Q3750929,13
Q3298492,14
Q3389521,15
Q720994,16
Q1627690,17
Q3750558,18
Q2994821,19
Q1904302,20
Q3319498,21
Q2470217,22
Q980253,23
Q3321657,24
Q1758503,25
Q2476184,26
Q3045547,27
Q3320806,28
Q3813816,29
Q3291762,30
Q3294602,31
Q3320716,32
Q3320705,33
Q3297056,34
Q3296693,35
Q3298510,36
Q990510,37
Q3321805,38
Q3750926,39
Q1932090,40
Q3753110,41
Q3310216,42
Q3297889,43
Q3813818,44
Q1026658,45
Q2741611,46
Q3596096,47
Q3297896,48
Q3043699,49
Q3320699,50
Q17154,51
Q3321797,52
Q3750551,53
