neigh_id,date,propertyCode,neigh_name,price,RFD
Q980253,2020_12_07,92501571,El Poble Sec - Parc de Montjuïc,230000,82.2
Q980253,2020_12_07,93126096,El Poble Sec - Parc de Montjuïc,395000,82.2
Q980253,2020_12_07,93178573,El Poble Sec - Parc de Montjuïc,250000,82.2
Q980253,2020_12_07,93170635,El Poble Sec - Parc de Montjuïc,150000,82.2
Q980253,2020_12_07,90270226,El Poble Sec - Parc de Montjuïc,299500,82.2
Q980253,2020_12_07,91422974,El Poble Sec - Parc de Montjuïc,350000,82.2
Q980253,2020_12_07,91515314,El Poble Sec - Parc de Montjuïc,299000,82.2
Q980253,2020_01_02,92451086,El Poble Sec - Parc de Montjuïc,330000,82.2
Q980253,2020_12_07,88543924,El Poble Sec - Parc de Montjuïc,345000,82.2
Q980253,2020_12_07,93084456,El Poble Sec - Parc de Montjuïc,200000,82.2
Q980253,2020_12_07,92910540,El Poble Sec - Parc de Montjuïc,745000,82.2
Q980253,2020_01_24,92026827,El Poble Sec - Parc de Montjuïc,250000,82.2
Q980253,2020_12_07,92114238,El Poble Sec - Parc de Montjuïc,465000,82.2
Q980253,2020_12_07,92933589,El Poble Sec - Parc de Montjuïc,360000,82.2
Q980253,2020_12_07,93117349,El Poble Sec - Parc de Montjuïc,230000,82.2
Q980253,2020_12_07,92953296,El Poble Sec - Parc de Montjuïc,420000,82.2
Q980253,2020_12_07,91929586,El Poble Sec - Parc de Montjuïc,360000,82.2
Q980253,2020_12_07,92736013,El Poble Sec - Parc de Montjuïc,345000,82.2
Q980253,2020_01_02,92516054,El Poble Sec - Parc de Montjuïc,360000,82.2
Q980253,2020_12_07,92490806,El Poble Sec - Parc de Montjuïc,350000,82.2
Q980253,2020_12_07,91448498,El Poble Sec - Parc de Montjuïc,205000,82.2
Q980253,2020_12_07,38196572,El Poble Sec - Parc de Montjuïc,339000,82.2
Q980253,2020_06_01,88062184,El Poble Sec - Parc de Montjuïc,299500,82.2
Q980253,2020_12_07,92460816,El Poble Sec - Parc de Montjuïc,225500,82.2
Q980253,2020_12_07,93167538,El Poble Sec - Parc de Montjuïc,300000,82.2
Q980253,2020_06_01,90240480,El Poble Sec - Parc de Montjuïc,228000,82.2
Q980253,2020_12_07,90934098,El Poble Sec - Parc de Montjuïc,160000,82.2
Q980253,2020_12_07,93100291,El Poble Sec - Parc de Montjuïc,275000,82.2
Q980253,2020_12_07,92966502,El Poble Sec - Parc de Montjuïc,192000,82.2
Q980253,2020_12_07,90640826,El Poble Sec - Parc de Montjuïc,890000,82.2
Q980253,2020_07_19,93201484,El Poble Sec - Parc de Montjuïc,295000,82.2
Q980253,2020_12_07,93180103,El Poble Sec - Parc de Montjuïc,230000,82.2
Q980253,2020_12_07,92582470,El Poble Sec - Parc de Montjuïc,210000,82.2
Q980253,2020_12_07,83759555,El Poble Sec - Parc de Montjuïc,470000,82.2
Q980253,2020_12_07,92302080,El Poble Sec - Parc de Montjuïc,248000,82.2
Q980253,2020_12_07,92225797,El Poble Sec - Parc de Montjuïc,255000,82.2
Q980253,2020_12_07,92591797,El Poble Sec - Parc de Montjuïc,169000,82.2
Q980253,2020_12_07,92557862,El Poble Sec - Parc de Montjuïc,245000,82.2
